,CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
361,40361606,THE MOVABLE FEAST,BROOKLYN,284,PROSPECT PARK WEST                                ,11215,7189652900,American ,2014-11-19,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11.0,A,2014-11-19,2015-08-14,Cycle Inspection / Initial Inspection
374,40361618,SAL'S DELI,QUEENS,12908,20 AVENUE,11356,7186619498,Delicatessen,2015-08-12,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,6.0,A,2015-08-12,2015-08-14,Cycle Inspection / Re-inspection
387,40361708,BULLY'S DELI,MANHATTAN,759,BROADWAY,10003,2122549755,Delicatessen,2015-08-06,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,28.0,,,2015-08-14,Cycle Inspection / Initial Inspection
404,40361998,STEVE CHU'S DELI & GROCERY,QUEENS,3406,10 STREET,11106,7187268888,Delicatessen,2015-03-04,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2.0,A,2015-03-04,2015-08-14,Cycle Inspection / Initial Inspection
411,40362098,HARRIET'S KITCHEN,MANHATTAN,502,AMSTERDAM AVENUE,10024,2127210045,Chicken,2014-09-15,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10.0,A,2014-09-15,2015-08-14,Cycle Inspection / Initial Inspection
451,40362264,P & S DELI GROCERY,MANHATTAN,730,COLUMBUS AVENUE                                   ,10025,2129323030,American ,2015-03-19,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,13.0,A,2015-03-19,2015-08-14,Cycle Inspection / Initial Inspection
481,40362274,ANGELIKA FILM CENTER,MANHATTAN,18,WEST HOUSTON STREET,10012,2129952570,American ,2015-08-11,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,11.0,A,2015-08-11,2015-08-14,Cycle Inspection / Initial Inspection
493,40362432,HO MEI RESTAURANT,QUEENS,10305,37 AVENUE,11368,7187796903,Chinese,2015-03-31,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12.0,A,2015-03-31,2015-08-14,Cycle Inspection / Initial Inspection
525,40362715,THE COUNTRY CAFE,MANHATTAN,60,WALL STREET,10005,3474279132,Turkish,2015-07-15,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140å¼ F.,Critical,19.0,,,2015-08-14,Cycle Inspection / Initial Inspection
550,40362869,SHASHEMENE INT'L RESTAURA,BROOKLYN,195,EAST   56 STREET                                  ,11203,3474300871,Caribbean,2015-06-15,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7.0,A,2015-06-15,2015-08-14,Cycle Inspection / Re-inspection
564,40363093,CARVEL ICE CREAM,BRONX,1006,EAST  233 STREET                                  ,10466,7186526827,"Ice Cream, Gelato, Yogurt, Ices",2015-04-13,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,9.0,A,2015-04-13,2015-08-14,Cycle Inspection / Initial Inspection
589,40363098,DUNKIN' DONUTS,BROOKLYN,56,COURT STREET                                      ,11201,7186252068,Donuts,2014-12-30,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8.0,A,2014-12-30,2015-08-14,Cycle Inspection / Initial Inspection
597,40363151,OLIVE'S,MANHATTAN,120,PRINCE STREET,10012,2129410111,Sandwiches/Salads/Mixed Buffet,2015-08-06,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140å¼ F to 70å¼ F or less within 2 hours, and from 70å¼ F to 41å¼ F or less within 4 additional hours.",Critical,17.0,,,2015-08-14,Cycle Inspection / Initial Inspection
619,40363289,HAPPY GARDEN,BRONX,1236,238 SPOFFORD AVE,10474,7186171818,Chinese,2015-07-09,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140å¼ F.,Critical,19.0,Z,2015-07-09,2015-08-14,Cycle Inspection / Re-inspection
635,40363298,CAFE METRO,MANHATTAN,625,8 AVENUE,10018,2127149342,American ,2015-05-18,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,12.0,A,2015-05-18,2015-08-14,Cycle Inspection / Initial Inspection
653,40363333,TONY'S DELI,QUEENS,1069,WYCKOFF AVENUE                                                                                      ,11385,7183867925,Delicatessen,2015-05-13,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11.0,A,2015-05-13,2015-08-14,Cycle Inspection / Initial Inspection
678,40363426,LEXLER DELI,MANHATTAN,405,LEXINGTON AVENUE                                  ,10174,2126870820,Sandwiches/Salads/Mixed Buffet,2015-02-09,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,12.0,A,2015-02-09,2015-08-14,Cycle Inspection / Initial Inspection
689,40363427,BAGELS N BUNS,STATEN ISLAND,2491,VICTORY BOULEVARD                                 ,10314,7187611900,Delicatessen,2015-07-16,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,11.0,A,2015-07-16,2015-08-14,Cycle Inspection / Re-inspection
716,40363565,HOT BAGELS,QUEENS,7905,METROPOLITAN AVENUE,11379,7183268510,Bagels/Pretzels,2015-01-28,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140å¼ F.,Critical,7.0,A,2015-01-28,2015-08-14,Cycle Inspection / Initial Inspection
759,40363590,SNACK TIME GRILL,QUEENS,8769,LEFFERTS BOULEVARD,11418,7188057835,American ,2015-02-09,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3.0,A,2015-02-09,2015-08-14,Cycle Inspection / Initial Inspection
771,40363630,LORENZO & MARIA'S,MANHATTAN,1418,THIRD AVENUE,10028,2127941080,Continental,2015-06-15,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,9.0,A,2015-06-15,2015-08-14,Cycle Inspection / Re-inspection
794,40363644,DOMINO'S PIZZA,MANHATTAN,464,3 AVENUE,10016,2125450200,Pizza,2015-07-16,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2.0,A,2015-07-16,2015-08-14,Cycle Inspection / Initial Inspection
813,40363685,BERKELEY,MANHATTAN,437,MADISON AVENUE                                    ,10022,2128328121,American ,2015-05-12,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,9.0,A,2015-05-12,2015-08-14,Cycle Inspection / Initial Inspection
825,40363744,SONNY'S HEROS,BROOKLYN,1031,EAST   92 STREET                                  ,11236,7184859810,American ,2015-02-14,No violations were recorded at the time of this inspection.,,,Not Applicable,0.0,A,2015-02-14,2015-08-14,Cycle Inspection / Initial Inspection
828,40363834,CARVEL ICE CREAM,STATEN ISLAND,1111,HYLAN BOULEVARD                                   ,10305,7188167807,"Ice Cream, Gelato, Yogurt, Ices",2015-04-28,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5.0,A,2015-04-28,2015-08-14,Cycle Inspection / Initial Inspection
834,40363920,NEW GOLDEN BILLION,BROOKLYN,976,RUTLAND ROAD,11212,7187357707,Chinese,2015-04-21,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3.0,A,2015-04-21,2015-08-14,Cycle Inspection / Re-inspection
845,40363945,DOMINO'S PIZZA,MANHATTAN,148,WEST   72 STREET,10023,2125010200,Pizza,2015-04-23,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,2.0,A,2015-04-23,2015-08-14,Cycle Inspection / Initial Inspection
867,40364149,AUNTIE ANNE'S PRETZELS TRACK 18,MANHATTAN,0,34 STREET,10001,2122396882,Bagels/Pretzels,2015-06-11,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,13.0,A,2015-06-11,2015-08-14,Cycle Inspection / Initial Inspection
878,40364179,SPOON BREAD CATERING/RESTAURANT,MANHATTAN,364,WEST  110 STREET                                  ,10025,2128656744,American ,2015-07-06,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140å¼ F.,Critical,20.0,,,2015-08-14,Cycle Inspection / Initial Inspection
909,40364220,KOSHER BAGEL HOLE,BROOKLYN,1423,AVENUE J,11230,7182584150,Jewish/Kosher,2015-05-21,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13.0,A,2015-05-21,2015-08-14,Cycle Inspection / Re-inspection
926,40364262,TERMINAL CAFE/YANKEE CLIPPER,QUEENS,0,GUARDIA AIRPORT PARKING,11371,9172998133,American ,2015-06-03,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140å¼ F.,Critical,34.0,Z,2015-06-03,2015-08-14,Cycle Inspection / Re-inspection
940,40364286,PLAZA BAGELS & DELI,STATEN ISLAND,73,NEW DORP PLAZA                                    ,10306,7183513906,Delicatessen,2015-03-26,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,13.0,A,2015-03-26,2015-08-14,Cycle Inspection / Initial Inspection
958,40364296,HAPPY GARDEN,BRONX,277,EAST KINGSBRIDGE ROAD                             ,10458,7182955588,Chinese,2015-02-12,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140å¼ F.,Critical,12.0,A,2015-02-12,2015-08-14,Cycle Inspection / Initial Inspection
984,40364299,B & M HOT BAGEL & GROCERY,STATEN ISLAND,203,GIFFORDS LANE                                     ,10308,7189668445,Delicatessen,2015-06-10,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,8.0,A,2015-06-10,2015-08-14,Cycle Inspection / Initial Inspection
1017,40364304,TEXAS ROTISSERIE,MANHATTAN,94,FULTON STREET,10038,2125666666,Chicken,2015-01-06,Violations were cited in the following area(s).,04O,Live animals other than fish in tank or service animal present in facility's food and/or non-food areas.,Critical,12.0,A,2015-01-06,2015-08-14,Cycle Inspection / Initial Inspection
1047,40364305,PHILADELHIA GRILLE EXPRESS,BROOKLYN,10004,4 AVENUE                                          ,11209,7182380747,Italian,2015-02-20,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,9.0,A,2015-02-20,2015-08-14,Cycle Inspection / Initial Inspection
1062,40364335,PETER LUGER STEAKHOUSE,BROOKLYN,178,BROADWAY,11211,7183877400,Steak,2015-03-13,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11.0,A,2015-03-13,2015-08-14,Cycle Inspection / Initial Inspection
1098,40364347,METROPOLITAN CLUB,MANHATTAN,1,EAST   60 STREET,10022,2128387400,American ,2015-03-25,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,9.0,A,2015-03-25,2015-08-14,Cycle Inspection / Re-inspection
1131,40364355,PALM RESTAURANT,MANHATTAN,837,2 AVENUE                                          ,10017,2126872953,American ,2015-03-24,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5.0,A,2015-03-24,2015-08-14,Cycle Inspection / Re-inspection
1164,40364362,21 CLUB,MANHATTAN,21,WEST   52 STREET,10019,2125827200,American ,2015-02-05,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,11.0,A,2015-02-05,2015-08-14,Cycle Inspection / Re-inspection
1194,40364363,MANHEM CLUB,BRONX,658,CLARENCE AVE,10465,7188228965,American ,2015-06-06,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11.0,A,2015-06-06,2015-08-14,Cycle Inspection / Initial Inspection
1210,40364373,ISLE OF CAPRI RESTURANT,MANHATTAN,1028,3 AVENUE                                          ,10065,2127581902,Italian,2014-09-16,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13.0,A,2014-09-16,2015-08-14,Cycle Inspection / Initial Inspection
1239,40364389,OLD TOWN BAR & RESTAURANT,MANHATTAN,45,EAST   18 STREET,10003,2125296732,American ,2014-10-08,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10.0,A,2014-10-08,2015-08-14,Cycle Inspection / Initial Inspection
1254,40364404,POLISH NATIONAL HOME,BROOKLYN,261,DRIGGS AVENUE                                     ,11222,7183875252,Polish,2015-05-15,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,2.0,A,2015-05-15,2015-08-14,Cycle Inspection / Initial Inspection
1259,40364439,SEVILLA RESTAURANT,MANHATTAN,62,CHARLES STREET                                    ,10014,2129293189,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2015-05-19,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140å¼ F.,Critical,43.0,Z,2015-05-19,2015-08-14,Cycle Inspection / Re-inspection
1276,40364443,CRIMINAL COURT BLDG CAFETERIA,MANHATTAN,100,CENTRE STREET,10013,2129621037,American ,2015-02-12,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13.0,A,2015-02-12,2015-08-14,Cycle Inspection / Initial Inspection
1286,40364449,GOTTSCHEER HALL,QUEENS,657,FAIRVIEW AVENUE,11385,7183663030,German,2015-04-23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,8.0,A,2015-04-23,2015-08-14,Cycle Inspection / Re-inspection
1306,40364467,NYAC MAIN DINING ROOM,MANHATTAN,180,CENTRAL PARK SOUTH                                ,10019,2127677000,American ,2014-12-15,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,12.0,A,2014-12-15,2015-08-14,Cycle Inspection / Initial Inspection
1347,40364518,7B BAR,MANHATTAN,108,AVENUE B                                                                                            ,10009,2126776742,American ,2015-02-25,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11.0,A,2015-02-25,2015-08-14,Cycle Inspection / Initial Inspection
1375,40364529,BEN-BEST DELI & RESTAURANT,QUEENS,9640,QUEENS BOULEVARD,11374,7188971700,Jewish/Kosher,2015-03-02,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,11.0,A,2015-03-02,2015-08-14,Cycle Inspection / Initial Inspection
1397,40364531,CAFE ATELIER (ART STUDENTS LEAGUE),MANHATTAN,215,WEST   57 STREET                                  ,10019,2122474510,American ,2015-02-10,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,5.0,A,2015-02-10,2015-08-14,Cycle Inspection / Initial Inspection
1427,40364572,DONOHUE'S STEAK HOUSE,MANHATTAN,845,LEXINGTON AVENUE                                  ,10065,2127440938,Steak,2015-03-10,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140å¼ F.,Critical,9.0,A,2015-03-10,2015-08-14,Cycle Inspection / Initial Inspection
1446,40364576,TOUT VA BIEN,MANHATTAN,311,WEST   51 STREET                                  ,10019,2122650190,French,2015-05-26,Violations were cited in the following area(s).,04A,Food Protection Certificate not held by supervisor of food operations.,Critical,30.0,Z,2015-05-26,2015-08-14,Cycle Inspection / Re-inspection
1519,40364581,JUNIOR'S,BROOKLYN,386,FLATBUSH AVENUE EXTENSION                         ,11201,7188525257,American ,2014-11-14,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,11.0,A,2014-11-14,2015-08-14,Cycle Inspection / Initial Inspection
1530,40364668,MARCHIS RESTAURANT,MANHATTAN,251,EAST   31 STREET,10016,2126792494,Italian,2015-07-16,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10.0,A,2015-07-16,2015-08-14,Cycle Inspection / Initial Inspection
1563,40364681,TOWNE CAFE,BROOKLYN,2602,EAST   15 STREET                                  ,11235,7186469827,American ,2015-05-09,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,12.0,A,2015-05-09,2015-08-14,Cycle Inspection / Initial Inspection
1581,40364691,DINING ROOM,MANHATTAN,.1-A,EAST 77 ST,10021,2127341468,Continental,2014-11-24,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13.0,A,2014-11-24,2015-08-14,Cycle Inspection / Initial Inspection
1611,40364715,OLD HOMESTEAD,MANHATTAN,56,9 AVENUE,10011,2122429040,American ,2015-06-15,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,26.0,Z,2015-06-15,2015-08-14,Cycle Inspection / Re-inspection
1637,40364744,NEW PARK PIZZERIA & RESTAURANT,QUEENS,156-71    ,CROSSBAY BOULEVARD                                ,11414,7186413082,Pizza/Italian,2015-04-02,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,10.0,A,2015-04-02,2015-08-14,Cycle Inspection / Initial Inspection
1652,40364858,DOUGLASTON CLUB,QUEENS,600,WEST DRIVE,11363,7182293900,American ,2015-02-04,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,7.0,A,2015-02-04,2015-08-14,Cycle Inspection / Initial Inspection
1673,40364863,SERENDIPITY 3,MANHATTAN,225,EAST   60 STREET,10022,2128383531,American ,2015-07-30,Violations were cited in the following area(s).,02G,Cold food item held above 41å¼ F (smoked fish and reduced oxygen packaged foods above 38 å¼F) except during necessary preparation.,Critical,13.0,A,2015-07-30,2015-08-14,Cycle Inspection / Re-inspection
1684,40364889,MELODY LANES,BROOKLYN,461,37 STREET                                         ,11232,7188322695,American ,2014-11-28,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,12.0,A,2014-11-28,2015-08-14,Cycle Inspection / Initial Inspection
1696,40364920,RIZZO'S FINE PIZZA,QUEENS,3013,STEINWAY STREET,11103,7187219862,Pizza,2014-10-06,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,2.0,A,2014-10-06,2015-08-14,Cycle Inspection / Initial Inspection
1720,40364956,THE NEW STARLING ATHLETIC CLUB OF THE BRONX,BRONX,2222,HAVILAND AVENUE                                   ,10462,7188229004,American ,2014-12-18,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7.0,A,2014-12-18,2015-08-14,Cycle Inspection / Initial Inspection
1742,40364958,WHITE HORSE TAVERN,MANHATTAN,567,HUDSON STREET                                     ,10014,2129893956,American ,2015-08-06,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,4.0,A,2015-08-06,2015-08-14,Cycle Inspection / Re-inspection
